"campaign","campaign_repeat","invocation","D","S","R","O_i","B_i","rows_per_worker","bytes_per_worker","mode","variant","S_tile","iterations","timed_repetitions","warmup","worker_count","worker_list","affinity","affinity_error","affinity_succeeded","timed_repetitions_exact","avx2_supported","kernel_used","eviction_bytes","eviction_checksum","elapsed_seconds","mac_total","mac_per_second","checksum"
"main","1","76","512","2","16","768,768,768,768","6291456,6291456,6291456,6291456","768,768,768,768","6291456,6291456,6291456,6291456","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0074759","251658240","3.36626e+10","34440378"
"main","1","77","512","4","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0022151","31457280","1.42013e+10","1986990123"
"main","1","78","512","4","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.001783","31457280","1.76429e+10","1986990123"
"main","1","79","512","4","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0017645","31457280","1.78279e+10","1986990123"
"main","1","80","512","4","1","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0016784","31457280","1.87424e+10","1986990123"
"main","1","81","512","4","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0036414","62914560","1.72776e+10","1986990123"
"main","1","82","512","4","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.002496","62914560","2.52062e+10","18446744073363475066"
"main","1","83","512","4","2","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0028087","62914560","2.23999e+10","1986990123"
"main","1","84","512","4","2","768,768,768,768","786432,786432,786432,786432","768,768,768,768","786432,786432,786432,786432","repeat","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0025448","62914560","2.47228e+10","18446744073363475066"
"main","1","85","512","4","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","fused","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.005713","125829120","2.20251e+10","1986990123"
"main","1","86","512","4","4","768,768,768,768","1572864,1572864,1572864,1572864","768,768,768,768","1572864,1572864,1572864,1572864","fused","B","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0052157","125829120","2.41251e+10","861613369"
"main","1","87","512","4","4","768,768,768,768","393216,393216,393216,393216","768,768,768,768","393216,393216,393216,393216","repeat","A","8","1","5","2","4","0,2,4,6","true,true,true,true","0,0,0,0","true","true","true","avx2","0","0","0.0064923","125829120","1.93813e+10","1986990123"
