probe,kernel_requested,kernel_used,avx2_supported,fma_supported,target_kib,actual_weight_bytes_per_block,allocated_weight_bytes,m,K,depth,variant,iterations,repetitions,warmup,logical_cpu_index,processor_group,group_processor_index,affinity_succeeded,affinity_error,eviction_bytes,elapsed_seconds,mac_count,mac_per_second,checksum
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,A,1,2,1,2,0,2,true,0,0,0.010951199999999999,67108864,6127991818.248229,29149.37890625
scalar_q4,avx2,avx2,true,true,1280,1310720,20971520,4096,512,16,B,1,2,1,2,0,2,true,0,0,0.011273699999999999,67108864,5952692017.7049246,25772.818359375
scalar_q4,avx2,avx2,true,true,1280,1310720,1310720,4096,512,16,C,1,2,1,2,0,2,true,0,67108864,0.077707600000000002,67108864,863607472.11340976,29149.37890625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,A,1,2,1,3,0,3,true,0,0,0.00026729999999999999,1677312,6275016835.0168352,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,B,1,2,1,3,0,3,true,0,0,0.0002967,1677312,5653225480.2831144,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,1,C,1,2,1,3,0,3,true,0,67108864,0.00031930000000000001,1677312,5253091136.8618851,992.19049072265625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,A,1,2,1,3,0,3,true,0,0,0.00055559999999999995,3354624,6037840172.7861776,1984.3802490234375
scalar_q4,avx2,avx2,true,true,512,524160,1048320,1638,512,2,B,1,2,1,3,0,3,true,0,0,0.00056789999999999998,3354624,5907068145.8003168,1352.0919189453125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,2,C,1,2,1,3,0,3,true,0,67108864,0.0043054,3354624,779166627.95559061,1984.3804931640625
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,A,1,2,1,3,0,3,true,0,0,0.0010675999999999999,6709248,6284421131.5099297,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,2096640,1638,512,4,B,1,2,1,3,0,3,true,0,0,0.0010809000000000001,6709248,6207094088.2597828,2610.9716796875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,4,C,1,2,1,3,0,3,true,0,67108864,0.010840300000000001,6709248,618917188.63869083,3968.751953125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,A,1,2,1,3,0,3,true,0,0,0.0022009999999999998,13418496,6096545206.7242165,7937.49169921875
scalar_q4,avx2,avx2,true,true,512,524160,4193280,1638,512,8,B,1,2,1,3,0,3,true,0,0,0.0021457999999999998,13418496,6253376829.1546278,4906.61328125
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,8,C,1,2,1,3,0,3,true,0,67108864,0.025935400000000001,13418496,517381494.01975673,7937.4921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,A,1,2,1,3,0,3,true,0,0,0.0042553000000000001,26836992,6306721500.2467508,15874.96484375
scalar_q4,avx2,avx2,true,true,512,524160,8386560,1638,512,16,B,1,2,1,3,0,3,true,0,0,0.0042770999999999998,26836992,6274576699.1653223,9914.1044921875
scalar_q4,avx2,avx2,true,true,512,524160,524160,1638,512,16,C,1,2,1,3,0,3,true,0,67108864,0.051944499999999998,26836992,516647421.76746339,15874.96484375
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,A,1,2,1,3,0,3,true,0,0,0.00062140000000000003,3354624,5398493723.8493719,1271.6666259765625
scalar_q4,avx2,avx2,true,true,1024,1048320,1048320,3276,512,1,B,1,2,1,3,0,3,true,0,0,0.00053819999999999996,3354624,6233043478.26087,1271.6666259765625
